Date,Algo,Price Impact
2024-09-01,TWAP,0.41
2024-09-01,VWAP,0.49
2024-09-01,POV,0.62
2024-09-01,BHM,0.22
2024-09-02,TWAP,0.35
2024-09-02,VWAP,0.25
2024-09-02,POV,0.42
2024-09-02,BHM,0.27
2024-09-03,TWAP,0.48
2024-09-03,VWAP,0.41
2024-09-03,POV,0.41
2024-09-03,BHM,0.29
2024-09-04,TWAP,0.55
2024-09-04,VWAP,0.26
2024-09-04,POV,0.45
2024-09-04,BHM,0.14
2024-09-05,TWAP,0.39
2024-09-05,VWAP,0.36
2024-09-05,POV,0.53
2024-09-05,BHM,0.16
2024-09-06,TWAP,0.48
2024-09-06,VWAP,0.24
2024-09-06,POV,0.49
2024-09-06,BHM,0.17
2024-09-07,TWAP,0.44
2024-09-07,VWAP,0.44
2024-09-07,POV,0.46
2024-09-07,BHM,0.2
2024-09-08,TWAP,0.48
2024-09-08,VWAP,0.21
2024-09-08,POV,0.58
2024-09-08,BHM,0.13
2024-09-09,TWAP,0.32
2024-09-09,VWAP,0.48
2024-09-09,POV,0.69
2024-09-09,BHM,0.26
2024-09-10,TWAP,0.39
2024-09-10,VWAP,0.23
2024-09-10,POV,0.61
2024-09-10,BHM,0.19
2024-09-11,TWAP,0.34
2024-09-11,VWAP,0.35
2024-09-11,POV,0.41
2024-09-11,BHM,0.28
2024-09-12,TWAP,0.38
2024-09-12,VWAP,0.4
2024-09-12,POV,0.49
2024-09-12,BHM,0.2
2024-09-13,TWAP,0.46
2024-09-13,VWAP,0.26
2024-09-13,POV,0.69
2024-09-13,BHM,0.26
2024-09-14,TWAP,0.58
2024-09-14,VWAP,0.47
2024-09-14,POV,0.58
2024-09-14,BHM,0.28
2024-09-15,TWAP,0.33
2024-09-15,VWAP,0.26
2024-09-15,POV,0.41
2024-09-15,BHM,0.17
2024-09-16,TWAP,0.42
2024-09-16,VWAP,0.28
2024-09-16,POV,0.65
2024-09-16,BHM,0.17
2024-09-17,TWAP,0.38
2024-09-17,VWAP,0.36
2024-09-17,POV,0.44
2024-09-17,BHM,0.26
2024-09-18,TWAP,0.32
2024-09-18,VWAP,0.5
2024-09-18,POV,0.63
2024-09-18,BHM,0.14
2024-09-19,TWAP,0.3
2024-09-19,VWAP,0.44
2024-09-19,POV,0.61
2024-09-19,BHM,0.25
2024-09-20,TWAP,0.53
2024-09-20,VWAP,0.22
2024-09-20,POV,0.51
2024-09-20,BHM,0.12
2024-09-21,TWAP,0.56
2024-09-21,VWAP,0.39
2024-09-21,POV,0.5
2024-09-21,BHM,0.11
2024-09-22,TWAP,0.39
2024-09-22,VWAP,0.3
2024-09-22,POV,0.62
2024-09-22,BHM,0.23
2024-09-23,TWAP,0.57
2024-09-23,VWAP,0.34
2024-09-23,POV,0.44
2024-09-23,BHM,0.24
2024-09-24,TWAP,0.53
2024-09-24,VWAP,0.37
2024-09-24,POV,0.63
2024-09-24,BHM,0.2
2024-09-25,TWAP,0.46
2024-09-25,VWAP,0.33
2024-09-25,POV,0.41
2024-09-25,BHM,0.12
2024-09-26,TWAP,0.31
2024-09-26,VWAP,0.39
2024-09-26,POV,0.49
2024-09-26,BHM,0.2
2024-09-27,TWAP,0.57
2024-09-27,VWAP,0.27
2024-09-27,POV,0.52
2024-09-27,BHM,0.25
2024-09-28,TWAP,0.37
2024-09-28,VWAP,0.22
2024-09-28,POV,0.49
2024-09-28,BHM,0.13
2024-09-29,TWAP,0.58
2024-09-29,VWAP,0.44
2024-09-29,POV,0.59
2024-09-29,BHM,0.27
2024-09-30,TWAP,0.54
2024-09-30,VWAP,0.26
2024-09-30,POV,0.67
2024-09-30,BHM,0.21
2024-10-01,TWAP,0.54
2024-10-01,VWAP,0.47
2024-10-01,POV,0.5
2024-10-01,BHM,0.12
2024-10-02,TWAP,0.37
2024-10-02,VWAP,0.33
2024-10-02,POV,0.65
2024-10-02,BHM,0.27
2024-10-03,TWAP,0.3
2024-10-03,VWAP,0.35
2024-10-03,POV,0.53
2024-10-03,BHM,0.14
2024-10-04,TWAP,0.34
2024-10-04,VWAP,0.3
2024-10-04,POV,0.68
2024-10-04,BHM,0.16
2024-10-05,TWAP,0.46
2024-10-05,VWAP,0.41
2024-10-05,POV,0.51
2024-10-05,BHM,0.29
2024-10-06,TWAP,0.59
2024-10-06,VWAP,0.28
2024-10-06,POV,0.55
2024-10-06,BHM,0.16
2024-10-07,TWAP,0.39
2024-10-07,VWAP,0.21
2024-10-07,POV,0.58
2024-10-07,BHM,0.2
2024-10-08,TWAP,0.32
2024-10-08,VWAP,0.28
2024-10-08,POV,0.67
2024-10-08,BHM,0.15
2024-10-09,TWAP,0.34
2024-10-09,VWAP,0.35
2024-10-09,POV,0.7
2024-10-09,BHM,0.15
2024-10-10,TWAP,0.5
2024-10-10,VWAP,0.43
2024-10-10,POV,0.47
2024-10-10,BHM,0.25
2024-10-11,TWAP,0.41
2024-10-11,VWAP,0.39
2024-10-11,POV,0.59
2024-10-11,BHM,0.21
2024-10-12,TWAP,0.33
2024-10-12,VWAP,0.45
2024-10-12,POV,0.5
2024-10-12,BHM,0.14
2024-10-13,TWAP,0.31
2024-10-13,VWAP,0.38
2024-10-13,POV,0.6
2024-10-13,BHM,0.1
2024-10-14,TWAP,0.45
2024-10-14,VWAP,0.27
2024-10-14,POV,0.59
2024-10-14,BHM,0.13
2024-10-15,TWAP,0.51
2024-10-15,VWAP,0.32
2024-10-15,POV,0.68
2024-10-15,BHM,0.13
2024-10-16,TWAP,0.4
2024-10-16,VWAP,0.23
2024-10-16,POV,0.68
2024-10-16,BHM,0.28
2024-10-17,TWAP,0.38
2024-10-17,VWAP,0.4
2024-10-17,POV,0.65
2024-10-17,BHM,0.21
2024-10-18,TWAP,0.46
2024-10-18,VWAP,0.27
2024-10-18,POV,0.43
2024-10-18,BHM,0.28
2024-10-19,TWAP,0.57
2024-10-19,VWAP,0.39
2024-10-19,POV,0.5
2024-10-19,BHM,0.17
2024-10-20,TWAP,0.52
2024-10-20,VWAP,0.47
2024-10-20,POV,0.67
2024-10-20,BHM,0.26
2024-10-21,TWAP,0.49
2024-10-21,VWAP,0.23
2024-10-21,POV,0.45
2024-10-21,BHM,0.28
2024-10-22,TWAP,0.48
2024-10-22,VWAP,0.2
2024-10-22,POV,0.43
2024-10-22,BHM,0.23
2024-10-23,TWAP,0.3
2024-10-23,VWAP,0.25
2024-10-23,POV,0.56
2024-10-23,BHM,0.24
2024-10-24,TWAP,0.5
2024-10-24,VWAP,0.27
2024-10-24,POV,0.61
2024-10-24,BHM,0.15
2024-10-25,TWAP,0.4
2024-10-25,VWAP,0.42
2024-10-25,POV,0.59
2024-10-25,BHM,0.27
2024-10-26,TWAP,0.5
2024-10-26,VWAP,0.37
2024-10-26,POV,0.43
2024-10-26,BHM,0.17
2024-10-27,TWAP,0.38
2024-10-27,VWAP,0.27
2024-10-27,POV,0.69
2024-10-27,BHM,0.18
2024-10-28,TWAP,0.57
2024-10-28,VWAP,0.39
2024-10-28,POV,0.64
2024-10-28,BHM,0.2
2024-10-29,TWAP,0.47
2024-10-29,VWAP,0.35
2024-10-29,POV,0.46
2024-10-29,BHM,0.24
2024-10-30,TWAP,0.38
2024-10-30,VWAP,0.21
2024-10-30,POV,0.59
2024-10-30,BHM,0.14
2024-10-31,TWAP,0.58
2024-10-31,VWAP,0.49
2024-10-31,POV,0.67
2024-10-31,BHM,0.17
2024-11-01,TWAP,0.3
2024-11-01,VWAP,0.48
2024-11-01,POV,0.53
2024-11-01,BHM,0.29
2024-11-02,TWAP,0.59
2024-11-02,VWAP,0.46
2024-11-02,POV,0.49
2024-11-02,BHM,0.18
2024-11-03,TWAP,0.56
2024-11-03,VWAP,0.3
2024-11-03,POV,0.45
2024-11-03,BHM,0.21
2024-11-04,TWAP,0.58
2024-11-04,VWAP,0.41
2024-11-04,POV,0.57
2024-11-04,BHM,0.12
2024-11-05,TWAP,0.48
2024-11-05,VWAP,0.5
2024-11-05,POV,0.44
2024-11-05,BHM,0.2
2024-11-06,TWAP,0.56
2024-11-06,VWAP,0.42
2024-11-06,POV,0.61
2024-11-06,BHM,0.24
2024-11-07,TWAP,0.41
2024-11-07,VWAP,0.29
2024-11-07,POV,0.64
2024-11-07,BHM,0.26
2024-11-08,TWAP,0.56
2024-11-08,VWAP,0.47
2024-11-08,POV,0.55
2024-11-08,BHM,0.2
2024-11-09,TWAP,0.54
2024-11-09,VWAP,0.39
2024-11-09,POV,0.61
2024-11-09,BHM,0.26
2024-11-10,TWAP,0.57
2024-11-10,VWAP,0.3
2024-11-10,POV,0.51
2024-11-10,BHM,0.12
2024-11-11,TWAP,0.47
2024-11-11,VWAP,0.21
2024-11-11,POV,0.54
2024-11-11,BHM,0.21
2024-11-12,TWAP,0.39
2024-11-12,VWAP,0.38
2024-11-12,POV,0.41
2024-11-12,BHM,0.11
2024-11-13,TWAP,0.55
2024-11-13,VWAP,0.31
2024-11-13,POV,0.44
2024-11-13,BHM,0.2
2024-11-14,TWAP,0.53
2024-11-14,VWAP,0.26
2024-11-14,POV,0.59
2024-11-14,BHM,0.12
2024-11-15,TWAP,0.32
2024-11-15,VWAP,0.36
2024-11-15,POV,0.56
2024-11-15,BHM,0.23
2024-11-16,TWAP,0.52
2024-11-16,VWAP,0.49
2024-11-16,POV,0.55
2024-11-16,BHM,0.16
2024-11-17,TWAP,0.54
2024-11-17,VWAP,0.28
2024-11-17,POV,0.53
2024-11-17,BHM,0.12
2024-11-18,TWAP,0.31
2024-11-18,VWAP,0.49
2024-11-18,POV,0.65
2024-11-18,BHM,0.24
2024-11-19,TWAP,0.42
2024-11-19,VWAP,0.25
2024-11-19,POV,0.45
2024-11-19,BHM,0.15
2024-11-20,TWAP,0.46
2024-11-20,VWAP,0.41
2024-11-20,POV,0.6
2024-11-20,BHM,0.16
2024-11-21,TWAP,0.59
2024-11-21,VWAP,0.42
2024-11-21,POV,0.57
2024-11-21,BHM,0.22
2024-11-22,TWAP,0.43
2024-11-22,VWAP,0.27
2024-11-22,POV,0.51
2024-11-22,BHM,0.25
2024-11-23,TWAP,0.3
2024-11-23,VWAP,0.23
2024-11-23,POV,0.41
2024-11-23,BHM,0.11
2024-11-24,TWAP,0.56
2024-11-24,VWAP,0.41
2024-11-24,POV,0.54
2024-11-24,BHM,0.12
2024-11-25,TWAP,0.45
2024-11-25,VWAP,0.34
2024-11-25,POV,0.45
2024-11-25,BHM,0.19
2024-11-26,TWAP,0.42
2024-11-26,VWAP,0.38
2024-11-26,POV,0.59
2024-11-26,BHM,0.11
2024-11-27,TWAP,0.41
2024-11-27,VWAP,0.39
2024-11-27,POV,0.55
2024-11-27,BHM,0.27
2024-11-28,TWAP,0.5
2024-11-28,VWAP,0.25
2024-11-28,POV,0.42
2024-11-28,BHM,0.23
2024-11-29,TWAP,0.31
2024-11-29,VWAP,0.38
2024-11-29,POV,0.68
2024-11-29,BHM,0.22
2024-11-30,TWAP,0.42
2024-11-30,VWAP,0.39
2024-11-30,POV,0.54
2024-11-30,BHM,0.21
